zipcode,city,county,population
91755,Monterey Park,Los Angeles County,26803
94133,San Francisco,San Francisco County,26796
91741,Glendora,Los Angeles County,26794
91504,Burbank,Los Angeles County,26749
91724,Covina,Los Angeles County,26717
91302,Calabasas,Los Angeles County,26712
91932,Imperial Beach,San Diego County,26492
90249,Gardena,Los Angeles County,26429
90240,Downey,Los Angeles County,26413
95242,Lodi,San Joaquin County,26409
91010,Duarte,Los Angeles County,26380
91307,West Hills,Los Angeles County,26341
91301,Agoura Hills,Los Angeles County,26334
92284,Yucca Valley,San Bernardino County,26182
92606,Irvine,Orange County,26171
94530,El Cerrito,Contra Costa County,26145
91411,Van Nuys,Los Angeles County,26111
91784,Upland,San Bernardino County,26090
95032,Los Gatos,Santa Clara County,26047
95503,Eureka,Humboldt County,25972
90304,Inglewood,Los Angeles County,25946
90064,Los Angeles,Los Angeles County,25925
92532,Lake Elsinore,Riverside County,25923
94803,El Sobrante,Contra Costa County,25893
94123,San Francisco,San Francisco County,25890
91740,Glendora,Los Angeles County,25877
94947,Novato,Marin County,25867
92832,Fullerton,Orange County,25837
94402,San Mateo,San Mateo County,25703
95815,Sacramento,Sacramento County,25673
92411,San Bernardino,San Bernardino County,25650
91030,South Pasadena,Los Angeles County,25637
94547,Hercules,Contra Costa County,25616
90602,Whittier,Los Angeles County,25581
91106,Pasadena,Los Angeles County,25543
95677,Rocklin,Placer County,25477
93933,Marina,Monterey County,25442
95945,Grass Valley,Nevada County,25381
94506,Danville,Contra Costa County,25240
95003,Aptos,Santa Cruz County,25185
91403,Sherman Oaks,Los Angeles County,25156
91737,Rancho Cucamonga,San Bernardino County,25154
95367,Riverbank,Stanislaus County,25072
90274,Palos Verdes Peninsula,Los Angeles County,25061
92211,Palm Desert,Riverside County,25056
91775,San Gabriel,Los Angeles County,25004
95354,Modesto,Stanislaus County,24923
92119,San Diego,San Diego County,24831
92651,Laguna Beach,Orange County,24800
95054,Santa Clara,Santa Clara County,24524
90303,Inglewood,Los Angeles County,24374
95215,Stockton,San Joaquin County,24326
90740,Seal Beach,Orange County,24307
93041,Port Hueneme,Ventura County,24208
94619,Oakland,Alameda County,24112
92251,Imperial,Imperial County,23970
95746,Granite Bay,Placer County,23934
95776,Woodland,Yolo County,23911
90403,Santa Monica,Los Angeles County,23902
95531,Crescent City,Del Norte County,23737
94609,Oakland,Alameda County,23726
94024,Los Altos,Santa Clara County,23675
95969,Paradise,Butte County,23572
90292,Marina Del Rey,Los Angeles County,23549
92835,Fullerton,Orange County,23528
93212,Corcoran,Kings County,23357
95864,Sacramento,Sacramento County,23352
91202,Glendale,Los Angeles County,23345
