latitude,longitude,state,zipcode
36.3349,-94.2486,Arkansas,70207
36.1045,-79.7839,North Carolina,20704
42.5619,-79.1343,New York,10400
44.5956,-123.303,Oregon,90703
61.1175,-149.862,Alaska,90905
39.4235,-104.885,Colorado,80001
40.9477,-74.0672,New Jersey,70605
46.8759,-96.7919,North Dakota,50801
43.0918,-89.3561,Wisconsin,50307
39.9852,-76.1081,Pennsylvania,10705
41.8279,-71.4093,Rhode Island,20900
33.7091,-116.243,California,90202
42.8892,-78.7551,New York,10402
40.6812,-75.2135,Pennsylvania,10800
39.6807,-104.769,Colorado,80000
41.8719,-84.0369,Michigan,40902
41.9543,-87.6575,Illinois,60006
35.1079,-77.0809,North Carolina,20805
28.5935,-81.2868,Florida,30207
46.8224,-114.026,Montana,50908
33.3358,-111.818,Arizona,80502
32.7649,-97.0112,Texas,70500
29.8924,-97.9397,Texas,70806
38.0136,-84.3986,Kentucky,40005
35.0291,-78.8901,North Carolina,20803
28.0777,-80.6194,Florida,30209
42.2679,-71.7803,Massachusetts,10600
46.7987,-92.0946,Minnesota,50508
34.3065,-119.283,California,90300
44.6442,-123.053,Oregon,90703
30.4567,-88.644,Mississippi,30905
35.0236,-85.1789,Tennessee,30704
41.9689,-87.6765,Illinois,60006
46.269,-119.23,Washington,90903
42.7339,-71.1247,Massachusetts,10804
30.1378,-97.7948,Texas,70807
40.5052,-79.913,Pennsylvania,10502
32.4179,-93.7168,Louisiana,70101
38.1607,-76.8424,Virginia,0
35.5495,-82.4652,North Carolina,20807
55.3435,-131.65,Alaska,0
29.9275,-90.0672,Louisiana,70001
39.6774,-104.809,Colorado,80000
64.8569,-147.773,Alaska,90907
42.0438,-91.6419,Iowa,50204
44.504,-87.9646,Wisconsin,50403
37.6649,-120.939,California,90503
37.695,-121.781,California,90405
27.2256,-80.3515,Florida,30409
32.2687,-80.9203,South Carolina,20909
41.2321,-96.1097,Nebraska,60801
45.5735,-93.2271,Minnesota,50500
35.7684,-82.5976,North Carolina,0
33.8269,-116.521,California,90202
40.3063,-74.0434,New Jersey,70702
29.6546,-82.3435,Florida,30206
33.7838,-84.5952,Georgia,30001
43.066,-83.861,Michigan,40804
32.4678,-84.9697,Georgia,30109
37.813,-87.6134,Kentucky,40204
38.9422,-92.411,Missouri,60502
41.2854,-82.0431,Ohio,40400
35.1103,-114.571,Arizona,80604
36.1459,-97.0574,Oklahoma,70400
31.3062,-89.2917,Mississippi,30904
38.4037,-82.3969,West Virginia,20507
38.058,-78.4411,Virginia,20209
40.338,-75.978,Pennsylvania,10906
43.6476,-116.266,Idaho,80307
42.2874,-85.647,Michigan,40900
33.186,-117.372,California,90200
41.4673,-81.568,Ohio,40401
34.1073,-118.227,California,90000
37.9223,-122.513,California,90409
39.3813,-87.3856,Indiana,40708
44.4858,-73.213,Vermont,504
40.8499,-96.6053,Nebraska,60805
34.1017,-118.338,California,90000
35.0721,-106.583,New Mexico,80701
45.9908,-123.928,Oregon,90701
35.1725,-111.682,Arizona,80600
35.5791,-82.5797,North Carolina,20808
38.8996,-77.0189,District of Columbia,20000
39.5225,-119.8,Nevada,80905
38.0982,-88.9044,Illinois,60208
29.6639,-95.7221,Texas,70704
35.106,-114.595,Arizona,80604
19.8464,-155.122,Hawaii,90607
39.3552,-87.1991,Indiana,0
39.9484,-75.1662,Pennsylvania,10901
47.6588,-122.39,Washington,50304
35.1321,-114.637,Nevada,80900
30.6057,-81.516,Florida,30209
29.6364,-95.2216,Texas,70700
38.1516,-90.5572,Missouri,60300
29.6967,-95.5311,Texas,70700
43.6313,-116.206,Idaho,80307
42.664,-73.775,New York,10202
32.6847,-114.678,Arizona,80503
42.9845,-77.3726,New York,10404
41.6175,-93.8588,Iowa,50002
31.9797,-81.1383,Georgia,30104
40.636,-74.0232,New York,10102
38.0416,-84.5063,Kentucky,20005
37.352,-121.993,California,90500
40.4393,-79.8877,Pennsylvania,10502
40.4199,-86.8932,Indiana,40709
34.0706,-117.596,California,90107
39.1877,-84.417,Ohio,40502
41.95,-83.6782,Michigan,40801
40.8304,-96.6027,Nebraska,60805
34.8042,-77.4153,North Carolina,20805
27.5669,-99.4993,Texas,70800
33.5003,-82.075,Georgia,30009
40.7651,-73.8194,New York,10103
40.6177,-111.83,Utah,80401
32.748,-117.106,California,90201
32.4858,-94.7638,Texas,70506
41.5692,-73.0406,Connecticut,60701
39.2787,-76.6145,Maryland,20102
41.1971,-73.969,New York,10009
40.0851,-82.9678,Ohio,40302
29.4408,-95.0976,Texas,70705
42.7385,-84.5176,Michigan,40809
61.2066,-149.883,Alaska,90905
42.0145,-91.6309,Iowa,50204
39.9095,-105.083,Colorado,80000
40.6242,-122.404,California,90609
42.2556,-83.7313,Michigan,40801
